标题,链接,发布时间,内容
比亚迪近几个月内不会大涨 想速速赚钱的去其它股票玩去吧,"https://guba.eastmoney.com/news,002594,476794965.html",2016-07-25 06:19:34,"比亚迪近几个月内不会大涨
想速速赚钱的去其它股票玩去吧"
最新公告揭露重大利好 下周14股或冲涨停,"https://guba.eastmoney.com/news,002594,449597575.html",2016-07-15 17:40:43,最新公告揭露重大利好 下周14股或冲涨停
重要的事情说三遍，byd最大的问题，盘子太大，盘子太大，盘子太大,"https://guba.eastmoney.com/news,002594,473467581.html",2016-07-24 20:36:30,重要的事情说三遍，byd最大的问题，盘子太大，盘子太大，盘子太大
要为国护盘，你说对了！我就是和春暖一伙的！,"https://guba.eastmoney.com/news,002594,472287809.html",2016-07-24 12:03:34,"哈哈！你能怎么样？


哈哈"
"三星如果真正投资的话,为什么不买H股,而买贵很多的A股,很虚伪","https://guba.eastmoney.com/news,002594,466657097.html",2016-07-22 22:28:13,"三星如果真正投资的话,为什么不买H股,而买贵很多的A股,很虚伪"
改款S6没出来，怎么那些改动用到新款S7上面了？,"https://guba.eastmoney.com/news,002594,473324783.html",2016-07-24 20:01:30,改款S6没出来，怎么那些改动用到新款S7上面了？
比亚迪不下互联网生态这步棋，永远就是一个制造者，一个打工者，目前没有看到比亚迪在,"https://guba.eastmoney.com/news,002594,472488518.html",2016-07-24 14:57:35,比亚迪不下互联网生态这步棋，永远就是一个制造者，一个打工者，目前没有看到比亚迪在互联网生态上搭建任何一个平台，只能说比亚迪已经是过去式了！
已经和中国采购与招标网联系了，他们的回复是：,"https://guba.eastmoney.com/news,002594,472835553.html",2016-07-24 17:40:56,"目前确实还没有深圳巴士集团采购3573台谁中标的消息。


他们认为，如果是7月20日开标的话，应该是2到3个工作日。最大的可能是下周一。

他们答应一旦有了具体消息，第一时间通知我们。

耐心等待。"
王传福+吕向阳,"https://guba.eastmoney.com/news,002594,472868948.html",2016-07-24 17:51:54,只是打个趣啊，别当真：王朝系列汽车通过铝电池和太阳能向世界人民传播幸福。
差不多了，感觉比亚该上行了。呵呵,"https://guba.eastmoney.com/news,002594,472480624.html",2016-07-24 14:46:58,"如果大盘不暴跌的话，感觉比亚该上行了。
大盘会暴跌不？感觉可能性不大，上证50领跌的，应该是可控下跌吧。
我也唱多一盘，比亚给点面噢。呵呵"
互联网重塑了经济模式，新能源汽车将改造出行方式！这样说来，新能源汽车不亚于当年的,"https://guba.eastmoney.com/news,002594,472478913.html",2016-07-24 14:44:37,互联网重塑了经济模式，新能源汽车将改造出行方式！这样说来，新能源汽车不亚于当年的互联网革命！
没有见到公告，应该是没有中标。。,"https://guba.eastmoney.com/news,002594,472242968.html",2016-07-24 11:34:13,没有见到公告，应该是没有中标。。
7/20招标比亚迪中标了,"https://guba.eastmoney.com/news,002594,470107367.html",2016-07-23 22:48:19,7/20招标比亚迪中标了
