标题,链接,发布时间,内容
涨停板,"https://guba.eastmoney.com/news,600137,894643380.html",2019-12-27 14:30:35,涨停板
卖飞了，拿了近半年，剩下3千股；一卖你就拉，上午15.25卖了~[亏大了],"https://guba.eastmoney.com/news,600137,894641184.html",2019-12-27 14:27:19,卖飞了，拿了近半年，剩下3千股；一卖你就拉，上午15.25卖了~
午后进的，猪力太不给面了噻！,"https://guba.eastmoney.com/news,600137,894638831.html",2019-12-27 14:23:17,午后进的，猪力太不给面了噻！
这是自己玩呢[为什么][为什么][为什么],"https://guba.eastmoney.com/news,600137,894638016.html",2019-12-27 14:21:50,这是自己玩呢
3连板,"https://guba.eastmoney.com/news,600137,894637514.html",2019-12-27 14:20:48,3连板
加油,"https://guba.eastmoney.com/news,600137,894636450.html",2019-12-27 14:19:12,加油
第一目标16.5元,"https://guba.eastmoney.com/news,600137,894635410.html",2019-12-27 14:17:29,第一目标16.5元
快抢要大涨了。,"https://guba.eastmoney.com/news,600137,894634041.html",2019-12-27 14:14:59,快抢要大涨了。
恭喜主力，帅气的操作，终于跑了一部分,"https://guba.eastmoney.com/news,600137,894517692.html",2019-12-27 10:13:54,恭喜主力，帅气的操作，终于跑了一部分
为什么不学学 南极人的模式？,"https://guba.eastmoney.com/news,600137,894476228.html",2019-12-27 09:04:57,人家260多亿的的市值，建议换职业经理人吧
曾经的记忆还停留在那丝丝顺滑的臭丝袜上[困顿],"https://guba.eastmoney.com/news,600137,894455434.html",2019-12-27 00:13:48,曾经的记忆还停留在那丝丝顺滑的臭丝袜上
主力，还在思考，不跟上板块吗？,"https://guba.eastmoney.com/news,600137,894356840.html",2019-12-26 14:28:35,主力，还在思考，不跟上板块吗？
板块大涨，赶紧跟上,"https://guba.eastmoney.com/news,600137,894320308.html",2019-12-26 13:24:00,板块大涨，赶紧跟上
加仓,"https://guba.eastmoney.com/news,600137,894241854.html",2019-12-26 10:05:49,加仓
多喜爱涨停纺织板块牛股大本营,"https://guba.eastmoney.com/news,600137,894065913.html",2019-12-25 13:22:30,多喜爱涨停纺织板块牛股大本营
真是弱啊,"https://guba.eastmoney.com/news,600137,894005589.html",2019-12-25 10:22:39,真是弱啊
星期六大涨200%，浪莎将复制,"https://guba.eastmoney.com/news,600137,893815598.html",2019-12-24 13:15:04,星期六大涨200%，浪莎将复制
已跌无可跌，股东人数大幅减少！年末股东人数预计少于9000人，应该可以发动行情了,"https://guba.eastmoney.com/news,600137,893759777.html",2019-12-24 10:20:43,已跌无可跌，股东人数大幅减少！年末股东人数预计少于9000人，应该可以发动行情了！
我走了，买ST板块去了，这个太垃圾，当误时间和行情,"https://guba.eastmoney.com/news,600137,893581762.html",2019-12-23 13:59:45,我走了，买ST板块去了，这个太垃圾，当误时间和行情
与贵人鸟一样大股东面临困境,"https://guba.eastmoney.com/news,600137,893581994.html",2019-12-23 14:00:17,与贵人鸟一样大股东面临困境
比美邦，贵人鸟星期六好,"https://guba.eastmoney.com/news,600137,893581210.html",2019-12-23 13:58:42,比美邦，贵人鸟星期六好
