标题,链接,发布时间,内容
今天有多少朋友关灯吃粽子,"https://guba.eastmoney.com/news,601928,178976760.html",2015-06-19 16:56:17,粽子都随大盘投江了，还有的吃吗
保住成果，下周出来！,"https://guba.eastmoney.com/news,601928,179002863.html",2015-06-19 19:10:30,这两天大跌，让我大幅度减少利润，为了保住成果，下周准备出来算了。我们不亏损就万幸，留置得青山在，不怕没柴烧。
股市就是一个散户掏钱，给国家搞建设。最后还落一赌徒。,"https://guba.eastmoney.com/news,601928,178907320.html",2015-06-19 14:28:15,股市就是一个散户掏钱，给国家搞建设。最后还落一赌徒。
天理难容,"https://guba.eastmoney.com/news,601928,179031225.html",2015-06-19 22:01:56,从来没碰到过2个以上涨停 ，今天却收了3跌停，天理难容。
妈的，割肉，销户。正式进入熊市。,"https://guba.eastmoney.com/news,601928,178875709.html",2015-06-19 13:42:19,妈的，割肉，销户。正式进入熊市。
这股应该随大盘调整到17左右启稳,"https://guba.eastmoney.com/news,601928,178836532.html",2015-06-19 11:57:23,昨天没创新高就说明主力无心恋战
对发布停牌类似言论，对打广告者的真实警告,"https://guba.eastmoney.com/news,601928,178618203.html",2015-06-18 18:26:41,"关于对发布关于停牌类似言论者，将上报给证监会及网警处理，对因此蒙受损失者提供依据索赔。对打广告者以及顶贴者以同案犯处理，大家相互转告。
最后想说的是，对该股技术面，基本面，宏观等分析是可以发表言论的。"
总结，传媒里面的垃圾，文化李明的糟粕,"https://guba.eastmoney.com/news,601928,178794226.html",2015-06-19 10:42:20,总结，传媒里面的垃圾，文化李明的糟粕
通知 今天跌停，受不了的快跑！,"https://guba.eastmoney.com/news,601928,178740647.html",2015-06-19 09:28:18,通知 今天跌停，受不了的快跑！
今天直接跌停吧，跌的很小马哥才会来！,"https://guba.eastmoney.com/news,601928,178742727.html",2015-06-19 09:32:55,今天直接跌停吧，跌的很小马哥才会来！
股吧用去年的停牌公告置顶，大家速度拍照保留，如因以损失去告它。,"https://guba.eastmoney.com/news,601928,178702104.html",2015-06-19 00:48:26,股吧用去年的停牌公告置顶，大家速度拍照保留，如因以损失去告它。
大盘恶劣，凤凰今天表现还算不错跑赢大盘,"https://guba.eastmoney.com/news,601928,178623294.html",2015-06-18 18:49:53,大盘一旦企稳，凤凰将展翅高飞
国际板来了，你准备好了吗,"https://guba.eastmoney.com/news,601928,178660577.html",2015-06-18 21:19:24,新三板、新兴板、国际板、板板见血。
真强假强看明天了。。。。[拜神][拜神][拜神][拜神],"https://guba.eastmoney.com/news,601928,178581963.html",2015-06-18 16:19:46,真强假强看明天了。。。。
阿里收购三成股份，题材多多,"https://guba.eastmoney.com/news,601928,178611778.html",2015-06-18 17:57:46,，，，，，，，，，，，，，
吗的，看着走势，阿里马云真的要来收购啊！,"https://guba.eastmoney.com/news,601928,178416758.html",2015-06-18 10:53:44,吗的，看着走势，阿里马云真的要来收购啊！
小姨子和我说洗盘结束，明天开始涨停之路，,"https://guba.eastmoney.com/news,601928,177800249.html",2015-06-16 14:46:52,买入
黑色星期四,"https://guba.eastmoney.com/news,601928,178545873.html",2015-06-18 14:59:18,黑色星期四
要死了，还停牌,"https://guba.eastmoney.com/news,601928,178535509.html",2015-06-18 14:47:05,要死了，还停牌
无风不起浪，具有重大收购题材,"https://guba.eastmoney.com/news,601928,178493893.html",2015-06-18 13:49:36,，，，，，，，，，，，
赶紧走吧，我已出，一日情。传媒没绿的~,"https://guba.eastmoney.com/news,601928,178390530.html",2015-06-18 10:16:09,赶紧走吧，我已出，一日情。传媒没绿的~赶紧下车。。。。
凤凰起飞了……                                 ,"https://guba.eastmoney.com/news,601928,178424839.html",2015-06-18 11:06:41,凤凰起飞了…… 迈进26.48 再见了22元……
草！看来阿里还真的要来买凤凰啊，马云真任性啊！,"https://guba.eastmoney.com/news,601928,178425292.html",2015-06-18 11:06:32,草！看来阿里还真的要来买凤凰啊，马云真任性啊！
想要多高就有多高,"https://guba.eastmoney.com/news,601928,178417632.html",2015-06-18 10:55:09,想要多高就有多高
今天会再创新高,"https://guba.eastmoney.com/news,601928,178364657.html",2015-06-18 09:34:58,必须的
换其他文化传媒行业,"https://guba.eastmoney.com/news,601928,178362011.html",2015-06-18 09:28:27,换其他文化传媒行业
企鹅要泡凤凰，360也爱上了凤凰，阿里说你们走开我来,"https://guba.eastmoney.com/news,601928,178297401.html",2015-06-17 21:52:05,靠，搞什么搞，要不你们4P吧
坚定看好凤凰不弃不离，就是调整也坚定此股三个月上50的预测,"https://guba.eastmoney.com/news,601928,178347324.html",2015-06-18 08:24:06,在我所有关注的票了，唯一坚定看好和坚持看多的一个股票。
想捡便宜货再不可能了。,"https://guba.eastmoney.com/news,601928,176582918.html",2015-06-12 10:35:18,想捡便宜货再不可能了。
分众借壳宏达新材生变，找姐姐凤凰求安慰,"https://guba.eastmoney.com/news,601928,178306399.html",2015-06-17 22:30:08,哈哈，小弟可别爱上凤凰姐啊
加码买入，主升段，,"https://guba.eastmoney.com/news,601928,177267881.html",2015-06-15 09:55:39,买入
宁沪高速、华西股份、凤凰传媒谁是正真的龙头？,"https://guba.eastmoney.com/news,601928,178281587.html",2015-06-17 21:02:24,从今天走势看是凤凰传媒！坚定持有至上市
早跟你们说了缺口必补，没人听！,"https://guba.eastmoney.com/news,601928,136483198.html",2014-12-17 14:11:08,"现在看见趋势了没？
告诉你们，听话的话，就在11.30附近再考虑买入，几毛钱也是利润，何况1928这只烂股上面几毛钱的波动算大的了！"
晚上会不会有停牌公告,"https://guba.eastmoney.com/news,601928,178190205.html",2015-06-17 15:05:46,
分众的恋人宏达犯事，失恋了就来找姐姐悄悄话,"https://guba.eastmoney.com/news,601928,178308831.html",2015-06-17 22:41:05,哈哈
下午大盘还会跳水，获利出了，祝各位发财,"https://guba.eastmoney.com/news,601928,178113500.html",2015-06-17 13:05:58,下午大盘还会跳水，获利出了，祝各位发财
企鹅360阿里都爱上了凤凰，凤凰说别闹我爱的分众,"https://guba.eastmoney.com/news,601928,178307113.html",2015-06-17 22:33:34,这都什么什么啊，乱套了。
江苏银行上市龙头！月末过会，下月上市,"https://guba.eastmoney.com/news,601928,178278418.html",2015-06-17 20:54:08,"江苏银行上市龙头！月末过会，下月上市
预计获利12亿"
号外号外：企鹅要泡凤凰了，大家送祝福吗,"https://guba.eastmoney.com/news,601928,178274730.html",2015-06-17 20:44:40,不管你信不信，反正我是信了。
企鹅勾搭凤凰，凤凰欲拒还迎,"https://guba.eastmoney.com/news,601928,178268075.html",2015-06-17 20:25:00,哈哈，男欢女爱就是爽。
阿里股，目标50元,"https://guba.eastmoney.com/news,601928,178255662.html",2015-06-17 19:32:45,，，，，，，，，，
声明:今天涨停是在线教育和BAT，非传言。不用公告:-(,"https://guba.eastmoney.com/news,601928,178245721.html",2015-06-17 18:46:20,"声明:
今天涨停是在线教育和BAT，非传言。不用公告:-("
凤凰传媒的主升段将在近期产生，建议大家积极布局，,"https://guba.eastmoney.com/news,601928,177722814.html",2015-06-16 12:03:49,目标价格40元，
今天不用关灯吃面了,"https://guba.eastmoney.com/news,601928,178004779.html",2015-06-17 09:42:49,哈哈
主力加油，给点力,"https://guba.eastmoney.com/news,601928,178142234.html",2015-06-17 13:58:24,别他妈的像娘们，一硬不就冲到顶了吗
还好昨天开盘跑了，这垃圾估计还要暴跌,"https://guba.eastmoney.com/news,601928,177999720.html",2015-06-17 09:30:11,还好昨天开盘跑了，这垃圾估计还要暴跌
腾讯的朋友告诉我：企鹅和凤凰在相亲,"https://guba.eastmoney.com/news,601928,178109422.html",2015-06-17 12:52:03,哈哈，双方干柴烈火，激情四射，迫不及待的要入洞房了。
马云缺席，马化腾补上,"https://guba.eastmoney.com/news,601928,178108390.html",2015-06-17 12:49:24,哈哈，马到成功，此股要一马当先了。
拥有此股的，今天不会再关灯吃面了,"https://guba.eastmoney.com/news,601928,178102037.html",2015-06-17 12:28:57,涨停可期
散户都撤吧,"https://guba.eastmoney.com/news,601928,178017810.html",2015-06-17 10:01:16,今天涨停
跌到14我满仓,"https://guba.eastmoney.com/news,601928,177799616.html",2015-06-16 14:45:49,真的，我等。
凤凰变落汤鸡，继续领跌文化传媒,"https://guba.eastmoney.com/news,601928,178004133.html",2015-06-17 09:40:20,凤凰变落汤鸡，继续领跌文化传媒
今天继续关灯吃面,"https://guba.eastmoney.com/news,601928,177979968.html",2015-06-17 08:19:34,因为关灯，泪流面里看不见
抄底的好机会来了，,"https://guba.eastmoney.com/news,601928,177989845.html",2015-06-17 08:59:44,抄底的好机会来了，
已经清仓,"https://guba.eastmoney.com/news,601928,177893700.html",2015-06-16 19:58:37,大家快走吧 不走 内裤都没了
走势明显强于大盘，上升通道完好，长线客不必动摇。,"https://guba.eastmoney.com/news,601928,177816789.html",2015-06-16 15:14:11,别害怕，
这股不会连续拉的，赚它的钱不易。。。。,"https://guba.eastmoney.com/news,601928,177932261.html",2015-06-16 22:17:16,这股不会连续拉的，赚它的钱不易。。。。
见顶了,"https://guba.eastmoney.com/news,601928,177893992.html",2015-06-16 19:59:40,次股 已经 降横盘3月 大家快走吧
今天平盘收,"https://guba.eastmoney.com/news,601928,177743027.html",2015-06-16 13:17:01,哈哈
计划跌10%就加仓10%,"https://guba.eastmoney.com/news,601928,177768169.html",2015-06-16 13:59:12,越跌越买
昨天汇阳的冯利勇每次推荐，此股必跌。,"https://guba.eastmoney.com/news,601928,177803250.html",2015-06-16 14:51:18,昨天汇阳的冯利勇每次推荐，此股必跌。
大盘又开始跳水了,"https://guba.eastmoney.com/news,601928,177771253.html",2015-06-16 14:03:56,艹
今天洗盘结束,"https://guba.eastmoney.com/news,601928,177760239.html",2015-06-16 13:46:55,下午吹集结号。。。。。。。
股东大会后停牌，关门前股价33元左右,"https://guba.eastmoney.com/news,601928,177476325.html",2015-06-15 17:14:24,不管你信不信，反正我信了
今天是介入凤凰传媒的良机,"https://guba.eastmoney.com/news,601928,177710207.html",2015-06-16 11:27:40,机不可失。
以静制动[微笑],"https://guba.eastmoney.com/news,601928,177734028.html",2015-06-16 12:51:23,以静制动
100米冲刺：深蹲；拉起；向前冲！目前就是深蹲的时刻。,"https://guba.eastmoney.com/news,601928,177731209.html",2015-06-16 12:39:19,100米冲刺：深蹲；拉起；向前冲！目前就是深蹲的时刻。
这几年凤凰传媒通过上市，降低融资成本，不断开拓进取，经营业绩不断提升，股本还从没,"https://guba.eastmoney.com/news,601928,177716701.html",2015-06-16 11:42:57,这几年凤凰传媒通过上市，降低融资成本，不断开拓进取，经营业绩不断提升，股本还从没扩张过，题材多多。像这样又有业绩又有题材的股票，真的很难找了，各位要珍惜啊！
全清仓了,"https://guba.eastmoney.com/news,601928,177696174.html",2015-06-16 11:05:13,886
大盘跌成这样,"https://guba.eastmoney.com/news,601928,177465051.html",2015-06-15 16:32:32,这样的表现很平常。不必在意一两天的涨跌。。。不必天天看盘。。。
今天咱家小姨子看到了马云在凤凰传媒总部，说搞什么大数据，云计算。,"https://guba.eastmoney.com/news,601928,176639494.html",2015-06-12 12:09:13,"至少后面有5个涨停，
第一个涨停；27.15元
第二个涨停；29.86元
第三个涨停；32.85元
第四个涨停；36.13元
第五个涨停；39.74元"
我就这三只票，骗你们我是你们日出来的,"https://guba.eastmoney.com/news,601928,151577499.html",2015-03-11 14:53:31,我就这三只票，骗你们我是你们日出来的
凤凰变母鸡，再不撤，套牢3月,"https://guba.eastmoney.com/news,601928,177663407.html",2015-06-16 10:18:55,凤凰变母鸡，再不撤，套牢3月
越跌越买，必有厚报,"https://guba.eastmoney.com/news,601928,177651974.html",2015-06-16 10:05:48,如题
宁沪高速又板,"https://guba.eastmoney.com/news,601928,177625402.html",2015-06-16 09:19:25,宁沪高速又板
看谁跑的快,"https://guba.eastmoney.com/news,601928,177628382.html",2015-06-16 09:26:39,看谁跑的快
"mlgc,与国中铁比跌幅了","https://guba.eastmoney.com/news,601928,177627622.html",2015-06-16 09:25:02,跑了，再不跑就要死了
秘闻：凤凰传媒与腾讯已接洽,"https://guba.eastmoney.com/news,601928,177507831.html",2015-06-15 19:27:44,千真万确
看看南北车、南北船，传闻比公告还准确！,"https://guba.eastmoney.com/news,601928,176787264.html",2015-06-12 16:43:19,看看南北车、南北船，传闻比公告还准确！
风物长宜放眼量,"https://guba.eastmoney.com/news,601928,177465372.html",2015-06-15 16:33:37,不畏浮云遮望眼。共勉。
没跌死你们算幸运的，出货痕迹非常明显，好自为之,"https://guba.eastmoney.com/news,601928,177431789.html",2015-06-15 14:59:34,这根高压避雷针，携带天量，今天起将进入至少30个交易日的打压期
这个是双重底，今天成型右肩,"https://guba.eastmoney.com/news,601928,177576533.html",2015-06-15 23:01:55,没有看出是个W吗
今天涨停不了，收盘24.98,"https://guba.eastmoney.com/news,601928,177406628.html",2015-06-15 14:20:04,我檫，我没票了，想24以下进，看来机会不好瞅啊
明日凤凰,"https://guba.eastmoney.com/news,601928,177538476.html",2015-06-15 20:59:22,趋势未坏，但放量，明日若无长阳，则短线十分危险，有盈利的可先走。
央行将于6月20日,"https://guba.eastmoney.com/news,601928,177527072.html",2015-06-15 20:25:15,下调各类存款类金融机构人民币存款金率0.5个百分点。
601928,"https://guba.eastmoney.com/news,601928,174337460.html",2015-06-05 19:04:08,601928
凤凰传媒到底和江苏银行IPO有多大关系？？,"https://guba.eastmoney.com/news,601928,176981896.html",2015-06-13 14:34:59,？？
面对现实吧，资金上午出了这么多，下午稍微拉高，明天就危险了。,"https://guba.eastmoney.com/news,601928,177345934.html",2015-06-15 12:00:01,面对现实吧，资金上午出了这么多，下午稍微拉高，明天就危险了。
学科网才多大的规模，几千万就能拿到51.8%的股份,"https://guba.eastmoney.com/news,601928,177126120.html",2015-06-14 15:12:30,即使BAT战略合作，感觉也是小儿科。
坚定持股，做好打持久战的准备,"https://guba.eastmoney.com/news,601928,177440731.html",2015-06-15 15:15:42,三个月此股上50元是我一贯的预测，坚定持有。
