发布时间,标题中性分数,标题积极分数,标题消极分数,评论中性分数,评论积极分数,评论消极分数
2017-04-14,0.9999017715454102,0.0,0.0,0.9999017715454102,0.0,0.0
2017-05-14,0.999901533126831,0.0,0.0,0.9999072551727295,0.0,0.0
2017-06-04,0.0,0.9996737241744995,0.0,0.0,0.9996737241744995,0.0
2017-08-08,0.0,0.0,0.9976944327354431,0.9999125003814697,0.0,0.0
2017-08-25,0.0,0.9997689127922058,0.0,0.0,0.9996165037155151,0.0
2017-10-10,0.0,0.9997175335884094,0.0,0.9999101161956787,0.0,0.0
2017-10-31,0.7017700672149658,0.0,0.0,0.7017700672149658,0.0,0.0
2017-11-02,0.9998931884765625,0.0,0.0,0.9999037981033325,0.0,0.0
2017-11-03,0.7180508930107643,0.206812492732344,0.06893659871200035,0.6498660404106666,0.17212956321650538,0.17234064381698083
2017-11-04,0.4999542832374573,0.49986913800239563,0.0,0.4999542832374573,0.0,0.3543984889984131
2017-11-05,0.9406425812665153,0.05600903314702651,0.0,0.9410315822152531,0.05513839160694795,0.0
2017-11-06,0.5142729632994708,0.2749650741324705,0.16441931794671452,0.6444577714976143,0.1868620234377244,0.13501934619510875
2017-11-07,0.8333211874260622,0.02934168542132658,0.11736603870111353,0.8129993238869835,0.05874401155640097,0.10517009216196396
2017-11-08,0.8645541230837505,0.0666224757830302,0.0666382908821106,0.9273320357004802,0.0,0.0666382908821106
