标题,链接,发布时间,内容
市盈率2032倍，建议卖出,"https://guba.eastmoney.com/news,600137,233751358.html",2015-12-21 15:02:15,国际股市大跌意味着明年全球经济会变差，中国股市逆市走强是暂时的，很快会下跌了。建议卖出。等跌20%逐步买进。
此股已沦为狗屎,"https://guba.eastmoney.com/news,600137,233684454.html",2015-12-21 13:29:14,此股已沦为狗屎
拉升股,"https://guba.eastmoney.com/news,600137,233481279.html",2015-12-20 18:53:32,000536 华映科技 该股筹码锁定良好，趋势明确，近日直捣15.60，逢低买入，你懂得！
你敢来举牌，我就敢满仓，跪求野蛮人来举牌,"https://guba.eastmoney.com/news,600137,233447522.html",2015-12-20 12:45:10,你敢来举牌，我就敢满仓，跪求野蛮人来举牌
紫光集团与浪莎相比 ，谁的后盾，潜力大?,"https://guba.eastmoney.com/news,600137,233451504.html",2015-12-20 13:30:54,"紫光成大股东后的昆明机床与世纪游轮相比 ，后市空间不可估量，昆明机床通过扩张、跨界转型的方式上演“蛇吞象”即收购、借壳中概股,360大戏。“巨无霸”预案于明年初落地，昆明机床的龙头风范，数千亿市值不是梦， 只是时间的问题，紫光成大股东后的昆明机床无需技术，无需看盘，后市空间不可估量，紫光成大股东后的昆明机床与世纪游轮相比价，即使同价 ， 依然绝对价位极端低估！主力仅靠以上的确定的题材，就可做到200元以上！洗盘好成功，虽然波折起伏，但昆明机床通过扩张、跨界转型的方式上演“蛇吞象”终归尘埃落定，已成定局。毫无争议，再不用费任何口水，即将注入新名称，紫光集团旗下都是好股，央企改革的标杆，12月底召开股东大会,大喜啊。现主力正在吸纳与洗盘，千万不要倒在黎明前，马上就来的主升浪!紫光集团的后盾比谁都强大!紫光成大股东后的昆明机床与世纪游轮相比 ，后市空间不可估量，昆明机床通过扩张、跨界转型的方式上演“蛇吞象”即收购、借壳中概股,360大戏。"
今天尾盘我进他，下周必涨,"https://guba.eastmoney.com/news,600137,233098345.html",2015-12-18 14:16:27,今天尾盘我进他，下周必涨
我去，劳资买了你后就没涨过,"https://guba.eastmoney.com/news,600137,232967420.html",2015-12-18 10:15:42,我去，劳资买了你后就没涨过
持有浪莎的同学肯定很郁闷,"https://guba.eastmoney.com/news,600137,232547083.html",2015-12-17 09:22:09,比浪莎涨得好基本面不如浪莎的股票多了去了。为毛浪莎走得如此窝囊？俗话说：兵熊熊一个，将熊熊一窝啊。
股市背后的真相,"https://guba.eastmoney.com/news,600137,232538536.html",2015-12-17 08:47:36,证金公司为代表的国家队保持对行情较强管控力
我擦,"https://guba.eastmoney.com/news,600137,232367272.html",2015-12-16 15:01:42,我擦
请问，截至12月15日，浪莎股份的股东人数有多少？10万股以上的股东人数有多少？,"https://guba.eastmoney.com/news,600137,915079678.html",2015-12-16 16:12:00,"请问，截至12月15日，浪莎股份的股东人数有多少？10万股以上的股东人数有多少？谢谢！！ 
浪莎股份
浪莎股份：经查询，截止12月15日收盘，浪莎股份的股东人数9380户左右，10万股以上的股东人数不到100户。谢谢！
(来自上证e互动)答复时间 2015-12-16 16:12:00"
没成交量，今天又是白玩,"https://guba.eastmoney.com/news,600137,231916862.html",2015-12-15 11:26:15,没成交量，今天又是白玩
600137狂风怒号：从74.39元掉下来29元中国最大行业应用解决方案提供商600588用友网络。,"https://guba.eastmoney.com/news,600137,231855039.html",2015-12-15 10:00:13,"狂风怒号：从74.39元掉下来29元中国最大行业应用解决方案提供商600588用友网络。
用友（集团）是亚太地区领先的企业管理软件、企业互联网服务和企业金融服务提供商，是中国最大的ERP、CRM、人力资源管理、商业分析、内审、小微企业管理软件和财政、汽车、烟草等行业应用解决方案提供商。用友iUAP平台是中国大型企业和组织应用最广泛的企业互联网开放平台，畅捷通平台是支持千万级小微企业的公有云服务。用友在金融、医疗卫生、电信、能源等行业应用以及数字营销、企业社交与协同、企业通信、企业支付、P2P、培训教育、管理咨询等服务领域快速发展。

基于移动互联网、云计算、大数据、社交等先进互联网技术，用友通过企业应用软件、企业互联网服务、互联网金融服务中国和全球企业及组织的互联网化。截至2014年，中国及亚太地区超过220万家企业与公共组织通过使用用友企业应用软件、企业互联网服务、互联网金融服务，实现精细管理、敏捷经营、商业创新。其中，中国500强企业超过60%是用友的客户。

用友（集团）连续多年被评定为国家“规划布局内重点软件企业”，“用友ERP管理软件”系“中国名牌产品”，“用友”系中国驰名商标，用友拥有系统集成一级资质，获中国绿色公司百强。 2014年6月，用友旗下畅捷通信息技术股份有限公司在香港H股主板上市（股票简称：畅捷通；股票代码：01588）新道科技于2015年9月18日在全国中小企业股份转让系统挂牌

用友的使命是用信息技术推动商业和社会进步，经营宗旨是做客户信赖的长期合作伙伴，发展目标是构筑企业互联网生态圈，成为全球领先的企业(及公共组织)管理服务与金融服务提供商。

公司主营企业：用友优普，北京用友政务软件有限公司，用友医疗卫生信息系统有限公司，用友烟草软件有限责任公司，北京用友审计软件有限公司，畅捷通，用友金融信息技术有限公司，用友新道科技有限公司，用友汽车信息科技，用友移动通信技术服务有限公司，用友广信网络科技有限公司，用友秉钧网络科技股份有限公司，北京红橘科技有限公司

因为每次买入都是大跌下来的股票，所以买了要等慢慢地涨，这么多年，我真习惯了等待股价回升，过程中很多人不理解，但若干时间后，我的资产又是一倍一倍的往上翻，而骂我的人却让我远远的抛离一批又一批，所以我说我真习惯了！"
600137:浪莎股份关于全资子公司收到政府奖励补助的提示性公告,"https://guba.eastmoney.com/news,600137,231587020.html",2015-12-14 16:03:43,"公告日期：2015-12-15
证券代码： 600137 股票简称：浪莎股份 编号：临 2015-056

四川浪莎控股股份有限公司

关于全资子公司收到政府奖励补助的提示性公告

本公司董事会及全体董事保证本公告内容不存在任何虚假记载、

误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承

担个别及连带责任。

四川浪莎控股股份有限公司全资子公司浙江浪莎内衣有限公司

（以下简称“浪莎内衣”）2015年12月14日收到浙江省义乌市政府2014

年度标准化战略奖励（ 补助） 资金425,000.00元，现将浪莎内衣2015

年年内截止公告日收到的各种政府奖励补助资金公告如下：

一、获得补助的基本情况

浪莎内衣截止2015年12月14日收到的各种政府奖励补助资金明

细：

1、 2014年度俄罗斯轻纺展资金补助88,200.00元，到账时间为

2015年5月13日。

2、 2014年度第二批开放型经济奖励补助资金277,900.00元，到

账时间为2015年7月23日。

3、 2014年度浙江省开拓国际市场项目奖励资金15,520.00元，到

账时间为2015年8月25日。

4、 2014年度第一批开放型经济奖励补助资金40,000.00元，到账

时间为2015年9月9日。

5、 2014年度标准化战略励资金425,000.00元，到账时间为2015

年12月14日。

以上金额合计846,620.00元。

三、补助的类型及其对公司的影响

浪莎内衣收到各种政府奖励补助资金属于非资产相关的政府补

助。 根据《企业会计准则第16 号——政府补助》相关规定： 浪莎内

衣2015年度收到政府奖励补助，计入公司年度损益， 对公司年度损益

产生积极影响。

四、 备查文件

浙江省义乌市政府2014年度标准化战略奖励（ 补助）企业名单公

告及浪莎内衣网上银行电子收款回单。

特此公告。

四川浪莎控股股份有限公司

董 事 会

2015 年 12 月 14 日
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
破30日线再买,"https://guba.eastmoney.com/news,600137,231842370.html",2015-12-15 09:42:51,破30日线再买
妈的，39.5买了4000股新问题套了,"https://guba.eastmoney.com/news,600137,231495051.html",2015-12-14 13:21:58,妈的，39.5买了4000股新问题套了
主力蛮有意思的，想把浪莎打在板上，又舍不得筹码，涨高了对主力没好处，所以绝对不想,"https://guba.eastmoney.com/news,600137,231654255.html",2015-12-14 19:32:49,主力蛮有意思的，想把浪莎打在板上，又舍不得筹码，涨高了对主力没好处，所以绝对不想上啦拉，最好是来个游资让大家爽一爽，反正主力不会抛，轻轻松松搞的个板，就像上次一样，4000万搞个板。今天我们揩了一下油，买了50万，涨跌随便。它要连续对敲三个跌板，估计会吓我一跳，哈哈，你敢吗？
明天不信你不拉,"https://guba.eastmoney.com/news,600137,231577497.html",2015-12-14 15:35:57,明天不信你不拉
