标题,链接,发布时间,内容
难道是补缺口。,"https://guba.eastmoney.com/news,600166,403336653.html",2016-05-26 13:43:50,难道是补缺口。
福田是名副其实的割肉王，不管散户和游资，通杀。,"https://guba.eastmoney.com/news,600166,403333400.html",2016-05-26 13:40:45,福田是名副其实的割肉王，不管散户和游资，通杀。
卖100辆车拉一个板，卖10000辆就可以拉100个板了,"https://guba.eastmoney.com/news,600166,403331012.html",2016-05-26 13:38:49,
快抢啊！此点来是最低点,"https://guba.eastmoney.com/news,600166,403327412.html",2016-05-26 13:36:08,快抢啊！此点来是最低点
骗子要开会了[大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大,"https://guba.eastmoney.com/news,600166,403326292.html",2016-05-26 13:35:14,骗子要开会了
福田订单的关键是成车的售价和电池的买价或者说盈利空间有多大。,"https://guba.eastmoney.com/news,600166,403325593.html",2016-05-26 13:34:33,福田的关键如题。从另一方面看，新能源汽车的发展空间、目前的股价都有一定的安全边际。
别投票！别投票！投票全部方案通不过，明天跌停开盘！,"https://guba.eastmoney.com/news,600166,403318034.html",2016-05-26 13:27:56,别投票！别投票！投票全部方案通不过，明天跌停开盘！
600166:福田汽车关于媒体报道的澄清公告,"https://guba.eastmoney.com/news,600166,402376543.html",2016-05-25 18:20:53,"公告日期：2016-05-26
 证券代码：600166 证券简称：福田汽车 编号：临2016—034

北汽福田汽车股份有限公司

关于媒体报道的澄清公告

本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗

漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。

重要内容提示：

2016年5月25日，某媒体刊载了一篇报道：《燃料电池车大单实为“回转交易”》，其中描述“买方有车新能源与福田汽车氢燃料电池的供货方亿华通实为一方，这笔买卖可以说是一次“回转交易”、该订单有“特殊意义”、福田汽车在资本运作层面或许也另有故事”等。

经核实，该报道不尽详实。

一、传闻简述

2016年5月24日，福田汽车披露了《关于取得100辆福田欧辉氢燃料电池电动客车订单的公告》（临2016-032号公告）。

2016年5月25日，某媒体刊载了一篇报道：《燃料电池车大单实为“回转交易”》，其中描述“买方有车新能源与福田汽车氢燃料电池的供货方亿华通实为一方，这笔买卖可以说是一次“回转交易”、该订单有“特殊意义”、福田汽车在资本运作层面或许也另有故事”等。

二、澄清声明

（一）有车公司与亿华通“实为一方”不详尽,交易是市场化的公平交易

经查询北京市企业信用信息网并电话询问北京亿华通科技股份有限公司（以下简称“亿华通”）的大股东及法定代表人张国强：有车（北京）新能源汽车租赁有限公司（以下简称有车公司）的股东为北京水木华通科技有限公司（以下简称“水木华通”）。张国强及亿华通合计持有水木华通33.16%的股份，为其第一大股东。水木华通还有另外7家其他股东合计持有66.84%的股份（其中第二大股东水木系基金合计持有28.66%的股份），张国强及亿华通不能实质性控制水木华通；而且，水木华通董事会成员共三人，仅有张国强一人为亿华通派出董事，在董事会也不占多数；张国强受股东委托，从熟悉业务和开展业务出发，暂时代理水木华通法定代表人。

综上，张国强本人确认，其与亿华通对有车公司及水木华通不实质控制。

关于本次100台订单交易的说明如下：

亿华通是中国较大的专业提供氢能源燃料电池的供应商，目前其产品提供并占有全国大部分份额及市场。有车公司是2014年成立，专门进行新能源汽车租赁业务的公司，拥有成熟的市场客户，现已有200多台纯电动车在运营。有车公司购买福田汽车的100台氢燃料电池电动客车，主要是由于市场成本大幅降低，已经具备了商业化运营的条件。福田汽车与有车公司签订的、未来交付的100台氢燃料电池客车，配装的电池由亿华通供应，本次交易完全是市场化的公平经营行为。

（二）100辆订单属于公司日常经营事项

福田汽车100辆欧辉氢燃料电池电动客车订单属于公司日常经营事项。公司多年来一直致力于氢能源客车产品的研发，2008-2009年，公司3辆氢燃料电池电动客车圆满完成2008年北京奥运会服务用车任务和为期一年的示范运行，并获得好评。本次100台客车订单购买方为有车公司，合同真实有效。

（三）福田汽车与有车公司、亿华通没有股权关系及关联关系

福田汽车从直接和间接上都不持有有车公司和亿华通的股权。

福田汽车的董事、监事、高管也均不在有车公司和亿华通任职，有车公司和亿华通的董事、监事、高管也均不在福田汽车任职。因此双方没有关联关系。

报道中所提到的“亿华通控股股东张国强”，确实曾短期在福田汽车就职普通员工，后考上清华硕士，离开福田汽车。公司与张国强之间仅存在上述关系，没有其他“渊源”。公司与亿华通、有车公司之间的交易行为均为一般经营行为，不是关联交易。

（四）福田汽车合法合规披露日常经营订单、利润分配及送转方案

2016年5月12日，公司《关于申万菱信基金提议高送转的公告》中，提出临时提案的申万菱信基金承诺，其旗下持有公司3.15%的股份的资产管理计划在2015年年度股东大会召开之前不减持所持有的公司股票。经电话咨询申万菱信基金，其回答该部分股份没有减持。

此次100辆订单以及前期利润分配、送转临时提案，福田汽车均按相关规定履行了合法合规的披露程序，均是公司的正常经营及决策行为，没有配合定增股东套现的行为。

三、特别提示

综上，在此郑重提醒广大投资者：“本公司发布的信息以公告为准，请广大投资者理性投资，注意风险。”

特此公告。

……
[点击查看PDF原文]
提示：本网不保证其真实性和客观性，一切有关该股的有效信息，以交易所的公告为准，敬请投资者注意风险。
展开阅读全文"
现在买早了，过两月再来买。,"https://guba.eastmoney.com/news,600166,403316888.html",2016-05-26 13:27:02,现在买早了，过两月再来买。
[图片],"https://guba.eastmoney.com/news,600166,403301161.html",2016-05-26 13:14:21,[图片]
